school,nickname,conference,year,Football,Men's Basketball,Women's Basketball,Men's Fencing,Women's Fencing,Men's Golf,Women's Golf,Men's Gymnastics,Women's Gymnastics,Men's Ice Hockey,Women's Ice Hockey,Men's Lacrosse,Women's Lacrosse,Men's Skiing,Women's Skiing,Men's Soccer,Women's Soccer,Men's Swimming and Diving,Women's Swimming and Diving,Men's Tennis,Women's Tennis,"Men's Track and Field, X-Country","Women's Track and Field, X-Country",Men's Volleyball,Women's Volleyball,Men's Water Polo,Women's Water Polo,Men's Wrestling,Women's Wrestling,Baseball,Women's Beach Volleyball,Women's Bowling,Women's Equestrian,Women's Field Hockey,Rifle,Women's Rowing,Softball,Women's Triathlon
University of South Alabama,South Alabama,Sun Belt,2019,"10,240,292","2,321,956","1,535,559",,,"424,181","468,287",,,,,,,,,,"908,831",,,"562,008","532,240","1,015,401","913,008",,"901,593",,,,,"2,114,173",,,,,,,"1,083,028",
University of South Alabama,South Alabama,Sun Belt,2021,"9,232,857","2,175,004","1,383,921",,,"463,168","433,705",,,,,,,,,,"991,603",,,"406,763","534,148","1,271,169","1,119,982",,"805,853",,,,,"1,674,244",,,,,,,"1,141,973",
Troy University,Troy,Sun Belt,2021,"8,504,738","2,129,899","1,984,516",,,"322,071","297,187",,,,,,,,,,"749,310",,,"357,680","348,343","687,427","1,054,741",,"714,567",,,,,"1,215,418",,,,,,,"881,577",
West Virginia University,West Virginia,Big 12,2021,"23,609,027","8,109,490","255,363",,,"173,202",,,"175,604",,,,,,,"120,150","150,951","136,519","75,786",,"15,348",,"159,922",,"163,266",,,"215,600",,"350,532",,,,,,"111,450",,
Coastal Carolina University,Coastal Carolina,Sun Belt,2021,"13,685,788","2,123,196","1,616,312",,,"517,495","545,851",,,,,,"1,882,355",,,"1,058,922","871,039",,,"378,348","461,470","528,595","731,491",,"846,884",,,,,"3,885,241","491,058",,,,,,"1,338,217",
Utah State University,Utah State,Mountain West,2021,"4,863,557","4,023,658","950,299",,,"101,096",,,"456,943",,,,,,,,"313,215",,,"183,997","231,028","291,292","314,977",,"447,184",,,,,,,,,,,,"365,564",
University of Florida,Florida,SEC,2021,"45,779,137","8,997,735","128,522",,,"60,935","37,165",,"80,456",,,,"87,323",,,,"100,457","67,783","55,332","42,671","39,936","86,621","88,963",,"133,151",,,,,"1,710,217",,,,,,,"365,568",
University of Louisiana Monroe,,,2021,"4,252,223","400,348","204,380",,,"68,845","112,243",,,,,,,,,,"19,414",,,,"2,913","3,121","51,812",,"3,221",,,,,"229,998","21,664",,,,,,"169,893",
"University of Colorado, Boulder",Colorado,Pac-12,2021,"17,165,239","4,741,696","593,484",,,"287,611","305,326",,,,,,"537,425","302,756","280,183",,"568,582",,,,"248,320","398,921","655,582",,"423,569",,,,,,,,,,,,,
Pennsylvania State University,Penn State,Big Ten,2021,"41,506,297","8,569,729","684,185","248,092","330,095","218,397","425,484","376,257","651,822","2,201,709","1,116,769","854,805","763,714",,,"477,025","855,512","567,465","825,972","311,364","501,395","744,820","982,792",,,,,,,"643,684",,,,"803,616",,,"713,296",
Georgia Institute of Technology,Georgia Tech,ACC,2021,"37,000,095","9,903,788","632,378",,,"276,549",,,,,,,,,,,,"286,593","290,641","179,090","298,578","186,023","258,635",,"330,767",,,,,"612,123",,,,,,,"186,758",
University of Oregon,Oregon,Pac-12,2021,"19,715,412","3,637,232","584,939",,,"86,720","85,809",,,,,,"116,075",,,,"151,982",,,"55,500","58,070","341,504","333,807",,"199,709",,,,,"336,363","17,000",,,,,,"234,380",
Florida International University,FIU,C-USA,2021,"2,801,534","478,252","136,206",,,,"81,108",,,,,,,,,"29,747","73,160",,"79,766",,"55,968","10,086","89,862",,"75,640",,,,,"120,011","59,066",,,,,,"64,712",
Bowling Green State University,Bowling Green,MAC,2021,"627,416","751,407","20,249",,,,"52,714",,"8,444","63,846",,,,,,"36,637","21,852",,,,,"13,761","4,187",,"23,564",,,,,"387,178",,,,,,,,
The Ohio State University,Ohio State,Big Ten,2021,"41,950,295","15,486,373","193,638","22,126","21,338","52,430","125,171","77,638","142,832","183,915","140,652","393,154","88,115",,,"155,909","105,686","237,719","150,835",,,,,,,,,,,"321,070",,,,"182,050",,"121,093","116,721",
Old Dominion University,Old Dominion,C-USA,2021,"2,820,396","1,059,868","605,677",,,"85,486","56,833",,,,,,"22,912",,,"27,817","42,748","8,091","13,201","33,155","37,875",,,,"73,711",,,,,"328,434",,,,"27,359",,"30,348",,
Eastern Michigan University,Eastern Michigan,MAC,2021,"6,752,693","1,478,567","1,360,761",,,"309,510","334,526",,"739,302",,,,"102,571",,,,"808,308",,"728,224",,"420,774","845,591","973,479",,"731,192",,,,,"923,546",,,,,,"1,030,990",,
Ball State University,Ball State,MAC,2021,"299,301","70,000","22,916",,,,,,"1,022",,,,,,,,"3,200",,"1,899",,,,,,,,,,,"45,000",,,,,,,"3,000",
University of Central Florida,UCF,AAC,2021,"24,743,628","3,335,365","1,039,896",,,"239,067","328,548",,,,,,,,,"549,145","662,137",,,"251,244","512,603",,"946,967",,"787,869",,,,,"1,297,824",,,,,,"980,337","927,150",
"University of Arkansas, Fayetteville",Arkansas,SEC,2021,"52,049,010","14,951,063","328,867",,,"145,057","156,516",,"176,862",,,,,,,,"70,892",,"71,380","94,523","68,381","288,353","267,633",,"171,704",,,,,"5,743,439",,,,,,,"276,344",
